harmonization_omop::OMOP_ID	THRESHOLD	SIDE	UNIT	QC_NOTES	MISC	conceptName
3020891	NA	NA	°c	NA	NA	Body temperature
3020911	NA	NA	nmol/24h	NA	NA	Cortisol [Moles/time] in 24 hour Urine
3021197	NA	NA	mmol/l	NA	NA	Magnesium Ionized [Moles/volume] in Serum or Plasma
3021236	NA	NA	iu/ml	NA	NA	Streptolysin O Ab [Units/volume] in Serum or Plasma
3021337	NA	NA	ng/l	NA	NA	Troponin I.cardiac [Mass/volume] in Serum or Plasma
3021387	NA	NA	mu/l	NA	NA	Prolactin [Units/volume] in Serum or Plasma
3021447	NA	NA	kpa	NA	NA	Carbon dioxide [Partial pressure] in Venous blood
3021584	NA	NA	mu/l	NA	NA	Pregnancy associated plasma protein A [Units/volume] in Serum or Plasma
3021614	NA	NA	iu/ml	NA	NA	Rheumatoid factor [Units/volume] in Serum or Plasma
3021901	NA	NA	%	NA	NA	Oxygen saturation in Capillary blood
3021960	NA	NA	nmol/l	NA	NA	Folate [Moles/volume] in Serum or Plasma
3022096	NA	NA	%	NA	NA	Basophils/100 leukocytes in Blood
3022250	NA	NA	u/l	NA	NA	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction
3022493	NA	NA	mg/l	NA	NA	Free Hemoglobin [Mass/volume] in Plasma
3022575	NA	NA	miu/ml	NA	NA	Varicella zoster virus IgG Ab [Units/volume] in Serum
3022689	NA	NA	mmol/l	NA	NA	Creatine [Moles/volume] in Urine
3022803	NA	NA	kpa	NA	NA	Oxygen [Partial pressure] adjusted to patient's actual temperature in Arterial blood
3022806	NA	NA	%	NA	NA	Fractional oxyhemoglobin in Capillary blood
3022914	NA	NA	u/ml	NA	NA	Cancer Ag 19-9 [Units/volume] in Serum or Plasma
3023024	NA	NA	kpa	NA	NA	Carbon dioxide [Partial pressure] in Capillary blood
3023183	NA	NA	umol/l	NA	NA	Ammonium ion [Moles/volume] in Plasma
3023199	NA	NA	e6/l	NA	NA	Leukocytes [#/volume] in Pleural fluid
3023323	NA	NA	iu/l	NA	NA	Follitropin [Units/volume] in Serum or Plasma
3023383	NA	NA	mmol/l	NA	NA	Lactate [Moles/volume] in Pleural fluid
3023465	NA	NA	g/l	NA	NA	Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis
3023487	NA	NA	e6/l	NA	NA	Leukocytes [#/volume] in Peritoneal fluid
3023520	NA	NA	e9/l	NA	NA	Reticulocytes [#/volume] in Blood
3023659	NA	NA	%	NA	NA	Complement C1 esterase inhibitor.functional/Complement C1 esterase inhibitor.total in Serum or Plasma
3023709	NA	NA	ug/l	NA	NA	Somatotropin [Mass/volume] in Serum or Plasma
3023939	NA	NA	u/ml	NA	NA	Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum
3024139	NA	NA	g/l	NA	NA	IgG subclass 3 [Mass/volume] in Serum
3024172	NA	NA	u/l	NA	NA	Erythropoietin (EPO) [Units/volume] in Serum or Plasma
3024354	NA	NA	kpa	NA	NA	Oxygen [Partial pressure] in Venous blood
3024474	NA	NA	mg/l	NA	NA	Albumin [Mass/volume] in Cerebral spinal fluid
3024666	NA	NA	mmol/l	NA	NA	Lithium [Moles/volume] in Serum or Plasma
3024928	NA	NA	%	NA	NA	Oxygen saturation in Venous blood
3024980	NA	NA	g/l	NA	NA	IgG subclass 4 [Mass/volume] in Serum
3025149	NA	NA	iu/ml	NA	NA	Bordetella pertussis IgA Ab [Units/volume] in Serum
3025245	NA	NA	u/ml	NA	NA	SCL-70 extractable nuclear Ab [Units/volume] in Serum by Immunoassay
3025577	NA	NA	ug/l	NA	NA	Chromium [Mass/volume] in Blood
3025839	NA	NA	mmol/l	NA	NA	Triglyceride [Moles/volume] in Serum or Plasma
3026048	NA	NA	iu/ml	NA	NA	Bordetella pertussis IgG Ab [Units/volume] in Serum
3026179	NA	NA	nmol/l	NA	NA	Normetanephrine [Moles/volume] in Serum or Plasma
3026250	NA	NA	ug/l	NA	NA	Tacrolimus [Mass/volume] in Blood
3026285	NA	NA	g/l	NA	NA	Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma
3026470	NA	NA	ug/l	NA	NA	Cobalt [Mass/volume] in Blood
3026725	NA	NA	nmol/l	NA	NA	Estradiol (E2) [Moles/volume] in Serum or Plasma
3026910	NA	NA	u/l	NA	NA	Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma
3026989	NA	NA	pmol/l	NA	NA	Triiodothyronine (T3) Free [Moles/volume] in Serum or Plasma
3027135	NA	NA	g/l	NA	NA	IgG subclass 1 [Mass/volume] in Serum
3027238	NA	NA	u/ml	NA	NA	Thyroperoxidase Ab [Units/volume] in Serum or Plasma
3027273	NA	NA	mmol/l	NA	NA	Bicarbonate [Moles/volume] in Venous blood
3027300	NA	NA	u/ml	NA	NA	Silver Birch IgE Ab [Units/volume] in Serum
3027315	NA	NA	kpa	NA	NA	Oxygen [Partial pressure] in Blood
3027456	NA	NA	nmol/l	NA	NA	Digoxin [Moles/volume] in Serum or Plasma
3027475	NA	NA	e6/l	NA	NA	Erythrocytes [#/volume] in Cerebral spinal fluid
3027801	NA	NA	kpa	NA	NA	Oxygen [Partial pressure] in Arterial blood
3027831	NA	NA	%	NA	NA	CD3-CD16+CD56+ (Natural killer) cells/100 cells in Blood
3027923	NA	NA	nmol/l	NA	NA	C peptide [Moles/volume] in Serum or Plasma
3027945	NA	NA	%	NA	NA	Reticulocytes/100 erythrocytes in Blood
3027946	NA	NA	kpa	NA	NA	Carbon dioxide [Partial pressure] in Arterial blood
3027953	NA	NA	u/l	NA	NA	Aldolase [Enzymatic activity/volume] in Serum or Plasma
3028026	NA	NA	g/l	NA	NA	IgM [Mass/volume] in Serum or Plasma
3028167	NA	NA	e9/l	NA	NA	CD3+CD4+ (T4 helper) cells [#/volume] in Blood
3028192	NA	NA	g/l	NA	NA	IgG subclass 2 [Mass/volume] in Serum
3028271	NA	NA	mmol/l	NA	NA	Lactate [Moles/volume] in Capillary blood
3028286	NA	NA	g/l	NA	NA	Albumin [Mass/volume] in Serum or Plasma by Electrophoresis
3028308	NA	NA	e6/l	NA	NA	Erythrocytes [#/volume] in Pleural fluid
3028531	NA	NA	ug/l	NA	NA	Enolase.neuron specific [Mass/volume] in Serum or Plasma
3028626	NA	NA	kpa	NA	NA	Oxygen [Partial pressure] in Capillary blood
3028653	NA	NA	%	NA	NA	Carboxyhemoglobin/Hemoglobin.total in Arterial blood
3029080	NA	NA	pg	NA	NA	Hemoglobin [Entitic mass] in Reticulocytes
3029187	NA	NA	ng/l	NA	NA	Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma
3029713	NA	NA	g/l	NA	NA	Protein.monoclonal band 1 [Mass/volume] in Serum or Plasma by Electrophoresis
3029879	NA	NA	e6/l	NA	NA	Epithelial cells.squamous [#/volume] in Urine by Automated count
3030136	NA	NA	nmol/l	NA	NA	5-Hydroxyindoleacetate [Moles/volume] in Serum or Plasma
3030306	NA	NA	e6/l	NA	NA	Epithelial cells.non-squamous [#/volume] in Urine by Automated count
3030467	NA	NA	e6/l	NA	NA	Casts [#/volume] in Urine by Automated count
3030981	NA	NA	e6/l	NA	NA	Hyaline casts [#/volume] in Urine by Automated count
3032155	NA	NA	nmol/l	NA	NA	Metanephrine Free [Moles/volume] in Serum or Plasma
3032836	NA	NA	nmol/l	NA	NA	C peptide [Moles/volume] in Serum or Plasma --fasting
3033658	NA	NA	%	NA	NA	Prothrombin time (PT) actual/Normal
3033705	NA	NA	mmol/l	NA	NA	Calcium.ionized [Moles/volume] in Venous blood
3034274	NA	NA	umol/l	NA	NA	Bile acid [Moles/volume] in Serum --fasting
3034426	NA	NA	s	NA	NA	Prothrombin time (PT)
3034780	NA	NA	u/l	NA	NA	Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma
3034860	NA	NA	mg/l	NA	NA	Kappa light chains.free [Mass/volume] in Serum
3035062	NA	NA	u/l	NA	NA	Alkaline phosphatase.liver 1 [Enzymatic activity/volume] in Serum or Plasma
3035285	NA	NA	mmol/l	NA	NA	Chloride [Moles/volume] in Venous blood
3035320	NA	NA	mg/l	NA	NA	C reactive protein [Mass/volume] in Body fluid
3035400	NA	NA	u/l	NA	NA	Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma
3035637	NA	NA	ng/l	NA	NA	Corticotropin [Mass/volume] in Plasma
3035715	NA	NA	e9/l	NA	NA	Granulocytes [#/volume] in Blood
3035880	NA	NA	ph	NA	NA	pH of Pleural fluid
3035933	NA	NA	%	NA	NA	Granulocytes/100 leukocytes in Blood
3035995	NA	NA	u/l	NA	NA	Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma
3035999	NA	NA	mmol/l	NA	NA	Lactate [Moles/volume] in Cerebral spinal fluid
3036035	NA	NA	%	NA	NA	von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay
3036185	NA	NA	u/l	NA	NA	Alkaline phosphatase.liver 2 [Enzymatic activity/volume] in Serum or Plasma
3036428	NA	NA	u/l	NA	NA	Adenosine deaminase [Enzymatic activity/volume] in Pleural fluid
3036481	NA	NA	nmol/l	NA	NA	Cortisol [Moles/volume] in Serum or Plasma
3036489	NA	NA	s	NA	NA	Thrombin time
3036535	NA	NA	ug/l	NA	NA	Thyroglobulin [Mass/volume] in Serum or Plasma
3036603	NA	NA	ml	NA	NA	Volume of Urine
3036669	NA	NA	%	NA	NA	Protein S actual/normal in Platelet poor plasma by Coagulation assay
3036782	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Pleural fluid
3037534	NA	NA	ng/l	NA	NA	Parathyrin related protein [Mass/volume] in Serum or Plasma
3037826	NA	NA	umol/l	NA	NA	lamoTRIgine [Moles/volume] in Serum or Plasma
3038515	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Venous blood
3038769	NA	NA	u/ml	NA	NA	Chlamydophila pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay
3040370	NA	NA	nmol/l	NA	NA	OLANZapine [Moles/volume] in Serum or Plasma
3041354	NA	NA	mmol/l	NA	NA	Potassium [Moles/volume] in Venous blood
3041806	NA	NA	e9/l	NA	NA	Other cells [#/volume] in Blood by Manual count
3042299	NA	NA	mg/l	NA	NA	inFLIXimab [Mass/volume] in Serum or Plasma
3042585	NA	NA	nmol/l	NA	NA	Pyridoxine [Moles/volume] in Serum or Plasma
3042810	NA	NA	ng/l	NA	NA	Amyloid beta 42 peptide [Mass/volume] in Cerebral spinal fluid
3043723	NA	NA	g/l	NA	NA	Beta 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis
3043747	NA	NA	g/l	NA	NA	Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis
3044242	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Arterial blood
3045156	NA	NA	kpa	NA	NA	Carbon dioxide [Partial pressure] adjusted to patient's actual temperature in Arterial blood
3045684	NA	NA	u/l	NA	NA	Alkaline phosphatase.other fractions [Enzymatic activity/volume] in Serum or Plasma
3045716	NA	NA	mmol/l	NA	NA	Anion gap in Serum or Plasma
3047169	NA	NA	mg/l	NA	NA	Lambda light chains.free [Mass/volume] in Serum or Plasma
3047181	NA	NA	mmol/l	NA	NA	Lactate [Moles/volume] in Blood
3047826	NA	NA	ug/l	NA	NA	Mullerian inhibiting substance [Mass/volume] in Serum or Plasma
3048402	NA	NA	u/field	NA	NA	Erythrocytes [#/area] in Urine sediment by Automated count
3048469	NA	NA	umol/l	NA	NA	10-Hydroxycarbazepine [Moles/volume] in Serum or Plasma
3048518	NA	NA	ratio	NA	NA	aPTT.lupus sensitive actual/normal (normalized LA screen)
3048689	NA	NA	ug/g	NA	NA	Calprotectin [Mass/mass] in Stool
3048773	NA	NA	mmol/l	NA	NA	Triglyceride [Moles/volume] in Serum or Plasma --fasting
3049506	NA	NA	ug/min	NA	NA	Microalbumin [Mass/time] in Urine collected for unspecified duration
3049714	NA	NA	ug/l	NA	NA	Procollagen type I.N-terminal propeptide [Mass/volume] in Serum
3051387	NA	NA	mg/l	NA	NA	C reactive protein [Mass/volume] in Capillary blood
3051611	NA	NA	index	NA	NA	Lipemic interference index of Serum or Plasma
3051714	NA	NA	mg/l	NA	NA	Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma
3052649	NA	NA	u/l	NA	NA	Adenosine deaminase [Enzymatic activity/volume] in Serum or Plasma
3052851	NA	NA	index	NA	NA	Hemolysis interference index of Serum or Plasma
4027681	NA	NA	ratio	NA	NA	Cerebrospinal fluid IgG ratio and IgG index
21491979	NA	NA	mu/l	NA	NA	Prolactin monomeric [Units/volume] in Serum or Plasma
21494814	NA	NA	%	NA	NA	CD8 cells/100 lymphocytes in Specimen
21494815	NA	NA	%	NA	NA	CD4 cells/100 lymphocytes in Specimen
36032269	NA	NA	pmol/l	NA	NA	Testosterone Free [Moles/volume] in Serum or Plasma by calculation
40757349	NA	NA	ratio	NA	NA	CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood
40758310	NA	NA	pmol/l	NA	NA	Human epididymis protein 4 [Moles/volume] in Serum or Plasma
40758990	NA	NA	ug/l	NA	NA	Choriogonadotropin.beta subunit [Mass/volume] in Serum or Plasma
40759040	NA	NA	nmol/l	NA	NA	C peptide [Moles/volume] in Serum or Plasma --post meal
40761995	NA	NA	%	NA	NA	Spermatozoa Progressive [#/volume] in Semen
40762366	NA	NA	%	NA	NA	Oxygen capacity [Volume Fraction] in Arterial blood
40763082	NA	NA	u/l	NA	NA	Lactate dehydrogenase [Enzymatic activity/volume] in Pleural fluid by Lactate to pyruvate reaction
40763531	NA	NA	ratio	NA	NA	Fetal Nuchal fold [Multiple of the median] Thickness adjusted for maternal weight
40763571	NA	NA	%	NA	NA	Iron/Transferrin [Ratio] in Serum or Plasma
40766189	NA	NA	eliau/ml	NA	NA	Gliadin peptide IgG Ab [Units/volume] in Serum by Immunoassay
40767503	NA	NA	%	NA	NA	Oxygen content in Capillary blood by calculation
40770918	NA	NA	%	NA	NA	von Willebrand factor (vWf).activity actual/normal in Platelet poor plasma by Immunoassay
42529200	NA	NA	u/ml	NA	NA	Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay
42529201	NA	NA	u/ml	NA	NA	Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay
42529215	NA	NA	u/l	NA	NA	Follitropin [Units/volume] in Serum or Plasma by Immunoassay
42868674	NA	NA	%	NA	NA	Cholesterol in HDL/Cholesterol.total [Molar ratio] in Serum or Plasma
42868678	NA	NA	mmol/l	NA	NA	Cholesterol non HDL [Moles/volume] in Serum or Plasma
42868691	NA	NA	pmol/l	NA	NA	Thyroxine (T4) free [Moles/volume] in Serum or Plasma by Dialysis
42869547	NA	NA	ug/l	NA	NA	Procollagen type III.N-terminal propeptide [Mass/volume] in Serum
42870365	NA	NA	mg/l	NA	NA	C reactive protein [Mass/volume] in Blood by High sensitivity method
43055120	NA	NA	iu/ml	NA	NA	Cytomegalovirus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection
43055225	NA	NA	ng/l	NA	NA	Phosphorylated tau 181 [Mass/volume] in Cerebral spinal fluid by Immunoassay
43055361	NA	NA	%	NA	NA	Metamyelocytes/Leukocytes [Pure number fraction] in Blood by Manual count
43055554	NA	NA	mmol/l	NA	NA	Base excess.100% oxygenated [Moles/volume] standard in Capillary blood by calculation
44786774	NA	NA	mg/l	NA	NA	Adalimumab [Mass/volume] in Serum or Plasma
44813793	NA	NA	NA	NA	NA	Dust mix specific IgE antibody measurement
44816844	NA	NA	mu/l	NA	NA	Macroprolactin [Units/volume] in Serum or Plasma
44816893	NA	NA	u/ml	NA	NA	Food Allergen Mix 50 (Kiwi+Pineapple+Banana+Mango) IgE Ab [Units/volume] in Serum by Multidisk
44817194	NA	NA	%	NA	NA	Complement alternate pathway AH50 actual/normal in Serum by Immunoassay
46235831	NA	NA	ratio	NA	NA	Pregnancy associated plasma protein A [Multiple of the median] adjusted in Serum or Plasma
