harmonization_omop::OMOP_ID	THRESHOLD	SIDE	UNIT	QC_NOTES	MISC	conceptName
3000034	NA	NA	mg/l	NA	NA	Microalbumin [Mass/volume] in Urine
3000060	NA	NA	e9/l	NA	NA	B lymphocytes [#/volume] in Blood
3000208	NA	NA	umol/l	NA	NA	Alpha tocopherol [Moles/volume] in Serum or Plasma
3000242	NA	NA	ng/l	NA	NA	Tau protein [Mass/volume] in Cerebral spinal fluid
3000515	NA	NA	%	NA	NA	Antithrombin actual/normal in Platelet poor plasma by Chromogenic method
3000620	NA	NA	g/l	NA	NA	Complement C3 [Mass/volume] in Serum or Plasma
3000850	NA	NA	e6/l	NA	NA	Epithelial cells [#/volume] in Urine
3001122	NA	NA	ug/l	NA	NA	Ferritin [Mass/volume] in Serum or Plasma
3001186	NA	NA	umol/l	NA	NA	Copper [Moles/volume] in Serum or Plasma
3001467	NA	NA	u/l	NA	NA	Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma
3001784	NA	NA	%	NA	NA	Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma
3001788	NA	NA	pmol/l	NA	NA	Aldosterone [Moles/volume] in Serum or Plasma
3002030	NA	NA	%	NA	NA	Lymphocytes/100 leukocytes in Blood
3002032	NA	NA	mmol/l	NA	NA	Base excess in Venous blood by calculation
3002079	NA	NA	mmol/24h	NA	NA	Sodium [Moles/time] in 24 hour Urine
3002109	NA	NA	ratio	NA	NA	Cholesterol in LDL/Cholesterol in HDL [Mass Ratio] in Serum or Plasma
3002173	NA	NA	g/l	NA	NA	Hemoglobin [Mass/volume] in Arterial blood
3002434	NA	NA	NA	NA	NA	Lupus erythematosus deoxynucleoproteins IgG Ab [Units/volume] in Serum by Immunoassay
3002582	NA	NA	e6/l	NA	NA	Erythrocytes [#/volume] in Urine
3003031	NA	NA	%	NA	NA	Transferrin.carbohydrate deficient.disialo/Transferrin.total in Serum or Plasma
3003129	NA	NA	mmol/l	NA	NA	Base excess in Capillary blood by calculation
3003181	NA	NA	mmol/l	NA	NA	Sodium [Moles/volume] in Urine
3003329	NA	NA	%	NA	NA	Lymphocytes/100 leukocytes in Synovial fluid
3003396	NA	NA	mmol/l	NA	NA	Base excess in Arterial blood by calculation
3003458	NA	NA	mmol/l	NA	NA	Phosphate [Moles/volume] in Serum or Plasma
3003785	NA	NA	ug/l	NA	NA	Carcinoembryonic Ag [Mass/volume] in Serum or Plasma
3003888	NA	NA	u/ml	NA	NA	Timothy IgE Ab [Units/volume] in Serum
3004119	NA	NA	g/l	NA	NA	Hemoglobin [Mass/volume] in Venous blood
3004248	NA	NA	nmol/l	NA	NA	Sex hormone binding globulin [Moles/volume] in Serum or Plasma
3004490	NA	NA	mmol/l	NA	NA	Bicarbonate [Moles/volume] standard in Capillary blood
3004529	NA	NA	%	NA	NA	Oxygen [Partial pressure] adjusted to patient's actual temperature in Venous blood
3004789	NA	NA	g/l	NA	NA	Transferrin [Mass/volume] in Serum or Plasma
3004809	NA	NA	%	NA	NA	Band form neutrophils/100 leukocytes in Blood
3004915	NA	NA	u/ml	NA	NA	Chlamydophila pneumoniae IgA Ab [Units/volume] in Serum
3005013	NA	NA	ug/l	NA	NA	Prostate Specific Ag Free [Mass/volume] in Serum or Plasma
3005033	NA	NA	mm	NA	NA	Fetal Nuchal fold Thickness US
3005082	NA	NA	nmol/l	NA	NA	Progesterone [Moles/volume] in Serum or Plasma
3005229	NA	NA	g/l	NA	NA	Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis
3005322	NA	NA	u/ml	NA	NA	IgE [Units/volume] in Serum or Plasma
3005532	NA	NA	%	NA	NA	Lymphocytes/100 leukocytes in Pleural fluid
3005715	NA	NA	mg/l	NA	NA	Vancomycin [Mass/volume] in Serum or Plasma
3005719	NA	NA	g/l	NA	NA	IgG [Mass/volume] in Serum or Plasma
3005757	NA	NA	%	NA	NA	Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay
3005785	NA	NA	ug/l	NA	NA	Creatine kinase.MB [Mass/volume] in Serum or Plasma
3005895	NA	NA	ug/l	NA	NA	Myoglobin [Mass/volume] in Serum or Plasma
3006109	NA	NA	%	NA	NA	Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay
3006140	NA	NA	umol/l	NA	NA	Bilirubin.total [Moles/volume] in Serum or Plasma
3006245	NA	NA	%	NA	NA	CD3-CD19+ cells/100 cells in Blood
3006315	NA	NA	e9/l	NA	NA	Basophils [#/volume] in Blood
3006442	NA	NA	umol/l	NA	NA	Creatine [Moles/volume] in Serum or Plasma
3006504	NA	NA	%	NA	NA	Eosinophils/100 leukocytes in Blood
3006576	NA	NA	mmol/l	NA	NA	Bicarbonate [Moles/volume] in Blood
3006653	NA	NA	nmol/l	NA	NA	Thiamine [Moles/volume] in Blood
3006923	NA	NA	u/l	NA	NA	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma
3006999	NA	NA	u/ml	NA	NA	Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum
3007080	NA	NA	u/ml	NA	NA	Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum
3007164	NA	NA	g/l	NA	NA	IgA [Mass/volume] in Serum or Plasma
3007220	NA	NA	u/l	NA	NA	Creatine kinase [Enzymatic activity/volume] in Serum or Plasma
3007368	NA	NA	mg/l	NA	NA	IgG [Mass/volume] in Cerebral spinal fluid
3007449	NA	NA	%	NA	NA	CD3+CD8+ (T8 suppressor) cells/100 cells in Blood
3007628	NA	NA	mmol/l	NA	NA	Bicarbonate [Moles/volume] standard in Venous blood
3007778	NA	NA	ratio	NA	NA	Kappa light chains/Lambda light chains [Mass Ratio] in Serum
3007821	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Serum or Plasma --baseline
3007847	NA	NA	u/ml	NA	NA	Interleukin 2 Receptor Soluble [Units/volume] in Serum or Plasma
3007930	NA	NA	%	NA	NA	Methemoglobin/Hemoglobin.total in Blood
3008037	NA	NA	mmol/l	NA	NA	Lactate [Moles/volume] in Venous blood
3008152	NA	NA	mmol/l	NA	NA	Bicarbonate [Moles/volume] in Arterial blood
3008295	NA	NA	mosm/kgh2o	NA	NA	Osmolality of Serum or Plasma
3008364	NA	NA	g/l	NA	NA	Apolipoprotein A-I [Mass/volume] in Serum or Plasma
3008486	NA	NA	pmol/l	NA	NA	Thyroxine (T4) free [Moles/volume] in Serum or Plasma
3008714	NA	NA	ratio	NA	NA	Choriogonadotropin [Multiple of the median] adjusted in Serum or Plasma
3009201	NA	NA	mu/l	NA	NA	Thyrotropin [Units/volume] in Serum or Plasma
3009214	NA	NA	u/l	NA	NA	Lutropin [Units/volume] in Serum or Plasma
3009613	NA	NA	e6/l	NA	NA	Erythrocytes [#/volume] in Peritoneal fluid
3009991	NA	NA	u/l	NA	NA	Angiotensin converting enzyme [Enzymatic activity/volume] in Cerebral spinal fluid
3010144	NA	NA	e6/l	NA	NA	Erythrocytes [#/volume] in Synovial fluid
3010156	NA	NA	mg/l	NA	NA	C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method
3010375	NA	NA	ug/l	NA	NA	cycloSPORINE [Mass/volume] in Blood
3010421	NA	NA	ph	NA	NA	pH of Blood
3010503	NA	NA	e6/l	NA	NA	CD19 cells [#/volume] in Blood
