TEST_NAME	TEST_ID	COUNT	top_prevalence	has_unit_data
u-suhti	0730	11634	0.0	False
s-b12-tc2	616408	11610	0.0	False
hdl/kol.	14578	11548	100.0	True
p-alb	605243	11507	100.0	True
oma-gluk	256	11472	0.0	False
b-lymfos	3223	11425	95.72	True
ntkmom	20758	11282	0.0	False
pappakmom	20757	11279	0.0	False
l-lymfos	191	11276	100.0	True
l-lymf(a)	9235	11241	100.0	True
b-eos	1001330	11218	100.0	True
hcgbvkmom	20756	11204	0.0	False
p-k	2101999	11202	100.0	True
l-eosin	598	11163	100.0	True
l-monos	197	11118	100.0	True
baso	1000599	11034	100.0	True
baso	1003157	11033	100.0	True
b-eosin	1330	11027	100.0	True
eos	1000598	11022	100.0	True
b-basof	3157	11017	100.0	True
lymf	1003223	11005	100.0	True
lymf	1000191	11002	100.0	True
mono	1000197	10995	100.0	True
mono	1003230	10979	100.0	True
b-neutr	3238	10973	97.48	True
neut	1000612	10966	100.0	True
p-bil	1001185	10881	100.0	True
p-uraat	4533	10864	98.62	True
b-erblast	602870	10860	100.0	True
b-hb-a1c	1605248	10849	100.0	True
l-basof	599	10834	100.0	True
l-neutr	612	10825	100.0	True
vb-ph	8270	10807	0.0	False
b-hba1c	7037277	10779	100.0	True
b-erytrosyytit,tilavuusosuus	1358	10629	77.48	True
fs-trfesat	10100	10586	100.0	True
p-ca	605254	10486	100.0	True
p-psa-v	4900	10483	100.0	True
l-mono(a)	399	10383	100.0	True
p-inr	104520	10380	0.0	False
p-psa	615989	10243	100.0	True
p-ca-albk	613776	10182	100.0	True
u-ph-huu	8869	10033	0.0	False
l-eos(a)	1332	10031	100.0	True
u-ominp-h	20567	10003	0.0	False
s-ca(akt)	3005097	9965	100.0	True
s-ca(7.4)	3005099	9951	100.0	True
p-afos	1605000	9948	100.0	True
p-antifxa	3828	9909	55.18	True
s-d-25	1220	9900	100.0	True
s-ph(akt)	3005098	9886	100.0	True
-i-ind	20538	9849	0.0	False
p-ferrit	1001395	9800	100.0	True
p-ca	4598	9683	100.0	True
u-albkre	2010455	9660	100.0	True
p-na	2103622	9653	100.0	True
u-alb	1010457	9615	0.0	False
pt-gfreepi	2917425	9579	0.0	False
l-neut(a)	398	9540	100.0	True
cp-gluk-hy	0589	9537	100.0	True
p-gluk	3001471	9483	100.0	True
p-tromboplastiiniaika,inr,tt	4520	9455	0.0	False
oma-crp	462	9415	100.0	True
p-inr	601850	9385	0.0	False
non-hdl	10138	9376	0.0	False
u-alb	10457	9359	100.0	True
p-bil	3005299	9162	100.0	True
u-prot-o	2529	9022	0.0	False
b-hba1c	7036281	8950	100.0	True
u-ph	0375	8890	0.0	False
l-baso(a)	1168	8791	100.0	True
p-alat	604418	8789	100.0	True
pt-gfreepi	1662604	8649	0.0	False
u-suhtih	0373	8539	0.0	False
p-tfr	1001949	8538	100.0	True
l-lymf	46	8470	100.0	True
cb-be	10191	8455	100.0	True
l-eos	690	8445	100.0	True
b-neutr	1003238	8441	0.0	False
b-basof	1003157	8427	0.0	False
b-neut	689	8421	100.0	True
b-eosin	1001330	8409	0.0	False
b-lymfos	1003223	8392	0.0	False
b-monos	1003230	8357	0.0	False
p-tnt	4532	8290	99.98	True
l-basof	1000599	8256	0.0	False
b-hkr	0639	8250	0.0	False
l-eosin	1000598	8245	0.0	False
l-lymfos	1000191	8204	0.0	False
l-monos	1000197	8170	0.0	False
l-neutr	1000612	8132	0.0	False
p-tromboplastiiniaika,inr-tulos	4520	8123	100.0	True
fp-gluk	2101468	8115	100.0	True
p-tsh	604895	8112	100.0	True
b-lymf	43	8077	100.0	True
p-psa-v	1004254	8055	100.0	True
s-t4-v	3002836	8052	100.0	True
fp-kol-ldl	604453	8045	100.0	True
ca++/7.40	596	8031	100.0	True
p-asat	4591	7931	100.0	True
p-amyl	4589	7910	100.0	True
fs-ph	0683	7870	0.0	False
oma-crp	5567927	7821	0.0	False
fp-transf	4567	7798	100.0	True
s-b12-vit	1137	7786	100.0	True
b-monos	42	7780	100.0	True
psa-v/psa	1010792	7743	0.0	False
b-eos	39	7740	100.0	True
fp-kol	604452	7719	100.0	True
l-monos	693	7709	100.0	True
l-baso	692	7698	100.0	True
fp-trigly	604454	7693	100.0	True
fp-kol-hdl	604451	7692	100.0	True
u-albkre	605850	7676	0.0	False
fp-kol-ldl	2605269	7672	100.0	True
ca-ion	597	7662	100.0	True
b-pvk+t	2474	7644	0.0	False
p-tnt	607465	7620	100.0	True
b-baso	40	7617	100.0	True
fs-ca++/7.40	596	7616	0.0	False
fs-ca-ion	597	7610	100.0	True
l-neut	688	7435	100.0	True
inr-vieri	603043	7407	0.0	False
p-psa-v	631060	7364	100.0	True
s-tsh	2832	7316	71.35	True
p-inr	606000	7295	0.0	False
b-neut	1103238	7241	100.0	True
crp	0113	7205	0.0	False
s-iglck-v	4966	7204	100.0	True
p-d-25	6401	7190	100.0	True
b-neut	2103238	7172	0.0	False
pt-gfreepi	4605	7034	0.0	False
b-trom	3629414	7028	100.0	True
s-ttgaba	1885	7011	91.32	True
s-iglcl-v	4950	7000	100.0	True
crp,tk	602087	6993	0.0	False
raskauksienmäärä,g	Ras001	6870	0.0	False
b-erytroblastit	50610	6765	100.0	True
l-neut(a)	3629125	6740	0.0	False
l-lymf(a)	3629126	6737	0.0	False
l-mono(a)	3629127	6736	0.0	False
p-ferrit	617876	6735	100.0	True
l-eos(a)	3629128	6734	0.0	False
l-baso(a)	3629129	6728	0.0	False
p-uraat	1002884	6716	100.0	True
b-monos	2103230	6701	0.0	False
b-baso	2103157	6667	0.0	False
s-b12-tc2	617336	6642	100.0	True
p-alb	3005318	6638	100.0	True
cb-be	5400	6637	100.0	True
l-neut(a)	2629125	6627	0.0	False
p-gluk,tk	602079	6621	0.0	False
l-lymf(a)	2629126	6620	0.0	False
p-tnt	615402	6615	0.0	False
l-mono(a)	2629127	6615	0.0	False
l-eos(a)	2629128	6606	0.0	False
l-baso(a)	2629129	6602	0.0	False
b-monos	1103230	6564	0.0	False
fp-gluk	101468	6555	100.0	True
p-tt-inr	3576	6546	0.0	False
b-baso	1103157	6522	0.0	False
p-afos	1605265	6512	0.0	False
vb-be	5386	6466	100.0	True
p-alb	1001028	6456	100.0	True
pt-gfreepi	3653122	6405	0.0	False
p-d-25	1220	6393	100.0	True
s-k/l-s-v	9319	6363	100.0	True
s-ca-ion	9010	6361	100.0	True
p-bil	605249	6352	100.0	True
p-amyl	1001078	6319	100.0	True
snabb-inr	0743	6267	0.0	False
p-crp	604422	6213	100.0	True
p-mg	4601	6178	100.0	True
u-ph	100325	6168	0.0	False
b-hba1c	606590	6161	100.0	True
b-hb-a1c	604449	6157	100.0	True
fp-kol-ldl	605269	6150	0.0	False
s-ca(7.4)	5099	6137	100.0	True
fe-folaat	4001414	6129	100.0	True
cb-pco2	1622	6119	100.0	True
p-psa	1605032	6073	100.0	True
p-afos	2605265	6055	0.0	False
p-amyl	3005208	6052	100.0	True
non-hdl(paasto)	10138	6004	0.0	False
kolesteroli/hdl-suhde	10037	6002	0.0	False
s-ph(akt)	5098	5988	100.0	True
s-ca-ion	597	5881	0.0	False
p-tsh	1663381	5873	0.0	False
synnytystenmäärä,p	Ras002	5868	0.0	False
s-ca++/7.40	596	5861	0.0	False
p-inr	4004520	5803	0.0	False
u-suhtih	100323	5732	0.0	False
fp-fe	4529	5720	100.0	True
p-d-25	632020	5675	100.0	True
pt-gfreepi	622040	5635	0.0	False
oma-p-crp	7037327	5623	100.0	True
b-leukosyytit	2218	5619	100.0	True
cb-tt-inrp	602165	5576	0.0	False
p-inr-hy	50285	5557	0.0	False
b-ly	1605097	5514	100.0	True
p-inr-vt	10757	5501	100.0	True
p-tsh	3657914	5475	0.0	False
fe-folaat	3014140	5457	100.0	True
p-uraat	605270	5451	100.0	True
p-inr	602670	5440	0.0	False
u-ph-o	13039	5438	0.0	False
b-ghb-a1c	1560	5330	100.0	True
s-ph	45093	5321	0.0	False
u-happamuusaste	1530	5304	0.0	False
p-tfr	605894	5294	0.0	False
fp-kol-hdl	2605268	5285	100.0	True
fp-kol-hdl	605268	5275	0.0	False
fp-trigly	2605285	5259	100.0	True
vb-be	50032	5232	100.0	True
14272	14272	5212	0.0	False
fp-trigly	605285	5194	0.0	False
b-erblast	3629130	5193	0.0	False
u-osmoest	606697	5188	87.05	True
nu-albkrea	618158	5154	100.0	True
p-uraat	3004533	5133	100.0	True
b-erblast	2629130	5130	0.0	False
p-tfr	617378	5088	100.0	True
p-tt-inr	1605218	5071	0.0	False
s-ttgaba	3001885	5066	100.0	True
vp-ph	1531	5059	0.0	False
p-asat	605247	5051	100.0	True
s-ca-iona	8524	5048	100.0	True
b-hba1c,tk	606670	5039	0.0	False
cb-hco3-st	154	5012	100.0	True
p-fidd	4113	5011	100.0	True
p-crp	605304	5001	100.0	True
s-fsh	1422	4996	51.01	True
-trfesat	4606	4851	100.0	True
p-tsh	622558	4847	0.0	False
p-psa-suh	4868	4811	99.68	True
s-ca-iona	3008524	4794	100.0	True
s-ca-ion	4009010	4788	100.0	True
s-ca-ion	2019	4747	100.0	True
e-retik	2582	4736	100.0	True
u-osmole	626820	4685	100.0	True
b-hba1c,t	606670	4683	0.0	False
u-ph	0067	4678	0.0	False
b-ghb-a1c	600221	4645	0.0	False
u-lier	2630671	4632	0.0	False
fp-pi	1431	4623	100.0	True
psa-v/psa	10792	4619	100.0	True
u-eryt	1101344	4619	0.0	False
u-leuk	1102221	4598	100.0	True
p-urea	4534	4590	100.0	True
mononukleaariset	Mon1223	4588	0.0	False
neutrofiilit	Neu1222	4535	0.0	False
s-cdt	4101	4511	100.0	True
b-erybla	644813	4508	100.0	True
pt-gfreepi	621337	4507	100.0	True
p-t4-v	604894	4480	100.0	True
p-gt	604424	4455	100.0	True
b-hba1c	3636046	4443	0.0	False
e-rdw	644812	4417	100.0	True
p-crp-o	7035803	4405	100.0	True
zb-ph	1532	4383	0.0	False
p-b12-vit	1001137	4382	100.0	True
p-psa-suh	606119	4330	100.0	True
p-psa-v	606118	4329	100.0	True
u-ominaispaino	18811	4321	0.0	False
b-hba1c	607475	4297	100.0	True
p-tt	3001731	4288	100.0	True
p-ph	50099	4275	0.0	False
s-ccpab	4744	4273	82.87	True
cb-inrc-c	0113	4271	0.0	False
b-eos	6001330	4262	100.0	True
u-ph	0325	4255	0.0	False
pappakmom	620902	4251	0.0	False
ntkmom	620900	4251	0.0	False
hcgbvkmom	620904	4251	0.0	False
u-suhtih	0323	4246	0.0	False
p-pi	4595	4227	100.0	True
ab-be	9224	4217	100.0	True
p-t4-v	1663382	4194	0.0	False
vb-be	9220	4185	100.0	True
pt-gfre	643362	4171	100.0	True
fp-ca	1002013	4162	100.0	True
inr-pika	868	4158	0.0	False
b-ghb-a1c,tk	600221	4155	0.0	False
f-calpro	4803	4155	100.0	True
u-gluk-0	1479	4154	0.0	False
pituus(cm)	Pit484	4130	0.0	False
p-psa-suh	1605034	4125	100.0	True
cb-tt-inrpika	602165	4095	0.0	False
b-monos	1605103	4068	100.0	True
b-baso	1605100	4068	100.0	True
pt-gfreepi	3960575	4060	0.0	False
