ID	LOW_LIMIT	HIGH_LIMIT	LOW_PROBLEM	HIGH_PROBLEM
3041096	-inf	inf	0	0
3041354	4.1	4.1	1	1
3041449	-inf	2.13	0	0
3041806	-inf	inf	0	0
3041942	-inf	2.8	0	0
3042299	-inf	inf	0	0
3042585	25.0	127.0	0	0
3042602	-inf	inf	0	0
3042810	603.0	inf	0	0
3043409	3.9	3.9	1	1
3043723	3.3	5.8	0	0
3043747	1.1	5.1	0	0
3043849	88.0	1000000.0	0	0
3044242	6.3	7.4	0	1
3044355	-inf	9.0	0	0
3044889	-inf	inf	0	0
3045066	-inf	9.2	0	1
3045156	5.05	5.05	1	1
3045414	-inf	inf	0	0
3045424	-inf	inf	0	0
3045462	-inf	27.5	0	0
3045684	-inf	12.0	0	0
3045716	9.0	16.0	0	0
3045781	12.0	957.0	0	0
3046279	-inf	0.28	0	1
3047166	0.0	0.0	1	1
3047169	9.4	23.5	0	0
3047181	1.1	1.2	0	1
3047826	0.03	1512.8	0	0
3048402	-inf	10.0	0	0
3048469	0.07	155.0	0	0
3048518	-inf	1.07	0	0
3048689	-inf	93.0	0	0
3048773	-inf	2.68	0	0
3048816	1.16	1.31	0	0
3049714	15.0	1188.0	0	0
3049804	-inf	9.6	0	1
3050449	-inf	17.0	0	1
3051014	-inf	20.0	0	0
3051101	-inf	inf	0	0
3051387	-inf	21.0	0	1
3051593	1.9	7.9	0	0
3051611	12.0	12.0	1	1
3051651	1.0	1.0	1	1
3051714	-inf	0.6	0	1
3052649	-inf	14.0	0	0
3052851	0.0	0.0	1	1
4027681	0.34	0.51	0	1
36032269	158.0	787.0	0	0
36304997	-inf	0.0	0	0
36305075	-inf	inf	0	0
40757349	1.19	1.19	1	1
40758310	-inf	78.0	0	0
40758355	-inf	84.5	0	0
40758990	57.0	57.0	1	1
40759040	0.78	1.38	0	0
40760848	-inf	21.0	0	1
40761995	33.0	inf	0	0
40762365	13.4	13.4	1	1
40762366	14.7	23.0	1	0
40763082	-inf	inf	0	0
40763086	-inf	inf	0	0
40763531	-inf	inf	0	0
40763571	6.04	89.0	0	0
40764999	9.0	inf	0	0
40766183	-inf	6.2	0	0
40766189	-inf	4.0	0	0
40767503	-inf	inf	0	0
40770918	51.0	179.0	0	0
40771025	10.0	inf	0	0
42529200	-inf	24.0	0	1
42529201	-inf	22.0	0	0
42529215	0.1	148.0	0	0
42868674	-inf	inf	0	0
42868678	3.5	3.5	1	1
42868691	8.0	21.0	0	0
42869547	2.5	8.85	0	1
42870365	-inf	55.0	0	0
43054903	5.0	924.0	0	0
43055120	31.0	4800.0	0	0
43055225	-inf	43.5	0	0
43055246	-inf	inf	0	0
43055361	-inf	1.0	0	1
43055554	-2.1	2.0	0	1
44786774	-inf	inf	0	0
44816559	-inf	0.2	0	0
44816844	110.0	349.0	0	0
44816893	-inf	0.35	0	0
44817194	43.0	inf	0	0
46235831	-inf	inf	0	0
46236952	36.0	inf	0	0
